StationID	LabNumber	DateSampledFormatted	DateSampled	RelativeDepthSample	Parameter	Result	ParameterGroup	HUC	County	EcoRegion	Description	ADEQPlSeg
ARK0020 	68874	6/27/1995 11:55:00 AM	6/27/1995 11:55:00 AM		Chloride (mg/l)	42.374	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	69118	7/18/1995 12:50:00 PM	7/18/1995 12:50:00 PM		Chloride (mg/l)	40.112	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	69512	8/15/1995 5:10:00 PM	8/15/1995 5:10:00 PM		Chloride (mg/l)	91.668	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	69877	9/11/1995 12:50:00 PM	9/11/1995 12:50:00 PM		Chloride (mg/l)	94.082R	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	70339	10/10/1995 1:45:00 PM	10/10/1995 1:45:00 PM		Chloride (mg/l)	113.3	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	70722	11/7/1995 12:30:00 PM	11/7/1995 12:30:00 PM		Chloride (mg/l)	128	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	71157	12/5/1995 1:15:00 PM	12/5/1995 1:15:00 PM		Chloride (mg/l)	120	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	71394	1/2/1996 2:35:00 PM	1/2/1996 2:35:00 PM		Chloride (mg/l)	85.055	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	71838	2/6/1996 1:55:00 PM	2/6/1996 1:55:00 PM		Chloride (mg/l)	76.977	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	72420	3/12/1996 1:35:00 PM	3/12/1996 1:35:00 PM		Chloride (mg/l)	81.607	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
